id,name,genre,subgenre,city,venue_id,venue_name,latitude,longitude,attraction_id,attraction_name,event_date,fetched_at
LvZ18QjtB2qTTtYZ0bFnY,Diaspora Calling!,R&B,R&B,Milton Keynes,KovZ9177BnV,The National Bowl,52.014768,-0.756174,K8vZ9171Q9f,Ms. Lauryn Hill,2026-08-07,2026-08-06T17:36:43
16dOZ_613G7mOzN,Tom Jones,Rock,Pop,Belfast,KovZ917A7e7,Custom House Square Belfast,54.60185975,-5.923208,K8vZ9171uxf,Tom Jones,2026-08-12,2026-08-06T17:36:43
1AdfZ_6GkROWt8S,Live Nation Presents: Roots Picnic | Sat 08 + Sun 09 Aug '26,,,London,KovZ9177tzf,Crystal Palace Bowl,51.420917,-0.067386,K8vZ9172PN7,The Roots Picnic,2026-08-08,2026-08-06T17:36:43
LvZ18QQdO04Htx8Z0YtnS,Electric Paradise,Rock,Pop,Milton Keynes,KovZ9177BnV,The National Bowl,52.014768,-0.756174,K8vZ91711zV,Grace Jones,2026-08-08,2026-08-06T17:36:43
1adfZ_7pfAxZd2AF,City Pop Waves presents Masayoshi Takanaka,Jazz,Jazz,London,KovZ9177tzf,Crystal Palace Bowl,51.420917,-0.067386,K8vZ917q59f,Masayoshi Takanaka,2026-08-07,2026-08-06T17:36:43
LvZ18QjV_D_xw08Zn1Vo4,Canterbury Live presents: Madness,Rock,Alternative Rock,Canterbury,KovZ9177LD7,The Spitfire Ground,51.267344,1.089758,K8vZ9171bqf,Madness,2026-08-09,2026-08-06T17:36:43
G5dzZ_ClLoSUa,Davido,World,World,London,KovZ9177AAV,O2 Forum Kentish Town,51.552039,-0.14193,K8vZ9173mOf,Davido,2026-08-11,2026-08-06T17:36:43
LvZ18QjSX8uVB7YvGPO4j,Canterbury Live presents: Becky Hill,Rock,Pop,Canterbury,KovZ9177LD7,The Spitfire Ground,51.267344,1.089758,K8vZ9173x_f,Becky Hill,2026-08-08,2026-08-06T17:36:43
11CZv0uIox7Ev2,The Saw Doctors - Feile 2026,Rock,Pop,Belfast,KovZ917AA67,Falls Park,54.591568,-5.963595,K8vZ9171bE7,The Saw Doctors,2026-08-07,2026-08-06T17:36:43
G5dzZ_aUs5eV_,Mushroomhead,Rock,Alternative Rock,London,KovZ91771U0,O2 Academy Islington,51.534469,-0.106613,K8vZ9171Dtf,Mushroomhead,2026-08-10,2026-08-06T17:36:43
LvZ18QrW2f6bjdOv1qvvK,Mushroomhead,Rock,Alternative Rock,Southampton,KovZ9177NC7,Southampton 1865,50.8989811,-1.4004633,K8vZ9171Dtf,Mushroomhead,2026-08-11,2026-08-06T17:36:43
