week_start,retrieved,reported,truncated
2026-08-06,241,241,False
2026-08-13,259,259,False
2026-08-20,337,337,False
2026-08-27,425,425,False
2026-09-03,384,384,False
2026-09-10,447,447,False
2026-09-17,477,477,False
2026-09-24,522,522,False
2026-10-01,574,574,False
2026-10-08,676,676,False
2026-10-15,629,629,False
2026-10-22,622,622,False
2026-10-29,546,546,False
2026-11-05,584,584,False
2026-11-12,665,665,False
2026-11-19,633,633,False
2026-11-26,547,547,False
2026-12-03,461,461,False
2026-12-10,346,346,False
2026-12-17,206,206,False
2026-12-24,50,50,False
2026-12-31,29,29,False
2027-01-07,61,61,False
2027-01-14,101,101,False
2027-01-21,124,124,False
2027-01-28,147,147,False
