id,name,genre,subgenre,city,venue_id,venue_name,latitude,longitude,attraction_id,attraction_name,event_date,min_price,max_price,currency,url,fetched_at
LvZ18Qf8CZ70mXZZ0FnJJ,MDC,Rock,Alternative Rock,London,KovZpZAt6AEA,New Cross Inn,51.475524,-0.03838,K8vZ9171lbf,MDC,2026-08-10,,,,https://www.universe.com/events/mdc-tickets-RXV74P?ref=ticketmaster,2026-08-10T10:21:16
16dbZ_kQKG7nK3-,John Grant with Richard Hawley & Band,Rock,Alternative Rock,Glasgow,KovZ9177VAf,Kelvingrove Bandstand,55.872313,-4.283712,K8vZ917uLeV,John Grant,2026-08-10,,,,https://www.ticketmaster.co.uk/john-grant-with-richard-hawley-band-glasgow-10-08-2026/event/3600646693A934A1,2026-08-10T10:21:16
1AdbZ_7GkRkQAKr,Slaughter To Prevail,Metal,Nu-Metal,Glasgow,KovZ9177wff,Galvanizers SWG3,55.863711,-4.298214,K8vZ917pvh7,Slaughter To Prevail,2026-08-10,,,,https://www.ticketmaster.co.uk/slaughter-to-prevail-glasgow-10-08-2026/event/3600644BC66854DE,2026-08-10T10:21:16
G5dzZ_aUs5eV_,Mushroomhead,Rock,Alternative Rock,London,KovZ91771U0,O2 Academy Islington,51.534469,-0.106613,K8vZ9171Dtf,Mushroomhead,2026-08-10,,,,https://www.ticketmaster.co.uk/mushroomhead-london-10-08-2026/event/3E00649DB12C2D19,2026-08-10T10:21:16
LvZ18QbHEpGr5rZZ0VS0D,Castle Rat,Rock,Rock,Southampton,KovZ9177NC7,Southampton 1865,50.8989811,-1.4004633,K8vZ917hgj0,Castle Rat,2026-08-10,,,,https://www.universe.com/events/castle-rat-tickets-4BQLKS?ref=ticketmaster,2026-08-10T10:21:16
G5vHZ_dBhrV7-,Kittie,Rock,Alternative Rock,Manchester,KovZpZAn1FkA,Manchester Club Academy,53.464386,-2.232225,K8vZ917103f,Kittie,2026-08-10,,,,https://www.ticketmaster.co.uk/kittie-manchester-10-08-2026/event/1F00643E9B7B4121,2026-08-10T10:21:16
LvZ18QxY_het9a8Z0_8yt,Sharp Pins,Rock,Indie Rock,Glasgow,KovZ9177YV0,King Tuts Wah Wah Hut,55.862637,-4.265037,K8vZ917qAF0,Sharp Pins,2026-08-10,,,,https://www.universe.com/events/sharp-pins-tickets-VF8TXP?ref=ticketmaster,2026-08-10T10:21:16
1AgZk8MGkes77jU,ABBA Voyage,Pop,Pop,London,KovZ9177E07,ABBA Arena,51.53327366,-0.01362306,K8vZ917_x47,ABBA Voyage,2026-08-10,,,,https://theatre.ticketmaster.co.uk/book/1H8DJ-abba-voyage-admissions/#perf=1H8DJ-G0Q&date=2026-08-10&time=7.45PM,2026-08-10T10:21:16
1ku8v0uSGAGay-j,Abba Voyage - VIP Premium Package,Pop,Pop,London,KovZ9177E07,ABBA Arena,51.53327366,-0.01362306,K8vZ917_x47,ABBA Voyage,2026-08-10,,,,https://theatre.ticketmaster.co.uk/book/1H8DJ-abba-voyage-admissions/#perf=1H8DJ-G0S&date=2026-08-10&time=7.45PM,2026-08-10T10:21:16
LvZ18Q0zNFNJzOWYaGb0v,Stage Door Guy,Blues,Blues,London,KovZpZAt6AEA,New Cross Inn,51.475524,-0.03838,K8vZ917-ZPf,Stage Door Guy,2026-08-11,,,,https://www.universe.com/events/stage-door-guy-tickets-4FYDSB?ref=ticketmaster,2026-08-10T10:21:16
1AdbZ_eGkDNrUk2,ABC,Rock,Pop,Glasgow,KovZ9177VAf,Kelvingrove Bandstand,55.872313,-4.283712,K8vZ9175zNV,ABC,2026-08-11,,,,https://www.ticketmaster.co.uk/abc-glasgow-11-08-2026/event/3600642EE37B618F,2026-08-10T10:21:16
1AdbZ_aGkBp0xej,James Johnston,Country,Country,Glasgow,KovZ9177wff,Galvanizers SWG3,55.863711,-4.298214,K8vZ917hhRV,James Johnston,2026-08-11,,,,https://www.ticketmaster.co.uk/james-johnston-glasgow-11-08-2026/event/3600649E9692209C,2026-08-10T10:21:16
1AwZk3pGkdfns6b,200 Stab Wounds,Metal,Nu-Metal,London,KovZ9177To0,The Dome London,51.557927,-0.139007,K8vZ917QxD7,200 Stab Wounds,2026-08-11,,,,https://www.ticketweb.uk/event/200-stab-wounds-the-dome-tickets/14872093?REFERRAL_ID=tmfeed,2026-08-10T10:21:16
