venue_id,genre,acts,venue_name,city,latitude,longitude,fetched_at
KovZ9177-2f,Country,1,Bridport Electric Palace,Dorset,50.731918,-2.757895,2026-08-06T17:36:43
KovZ9177-G7,Alternative,1,Exeter Phoenix,Exeter,50.724815,-3.531253,2026-08-06T17:36:43
KovZ9177-G7,Country,1,Exeter Phoenix,Exeter,50.724815,-3.531253,2026-08-06T17:36:43
KovZ9177-G7,Dance/Electronic,1,Exeter Phoenix,Exeter,50.724815,-3.531253,2026-08-06T17:36:43
KovZ9177-G7,Folk,3,Exeter Phoenix,Exeter,50.724815,-3.531253,2026-08-06T17:36:43
KovZ9177-G7,Hip-Hop/Rap,1,Exeter Phoenix,Exeter,50.724815,-3.531253,2026-08-06T17:36:43
KovZ9177-G7,Jazz,1,Exeter Phoenix,Exeter,50.724815,-3.531253,2026-08-06T17:36:43
KovZ9177-G7,Metal,1,Exeter Phoenix,Exeter,50.724815,-3.531253,2026-08-06T17:36:43
KovZ9177-G7,Pop,1,Exeter Phoenix,Exeter,50.724815,-3.531253,2026-08-06T17:36:43
KovZ9177-G7,Rock,14,Exeter Phoenix,Exeter,50.724815,-3.531253,2026-08-06T17:36:43
KovZ9177-Rf,Rock,1,Southampton Papillon,Southampton,50.90917266,-1.41086349,2026-08-06T17:36:43
KovZ9177-WV,Rock,1,Emerald Theatre,London,51.5099107,-0.11828309,2026-08-06T17:36:43
KovZ9177-_7,R&B,1,Bristol Amphitheatre & Waterfront Square,Bristol,51.44862,-2.60085,2026-08-06T17:36:43
KovZ9177-fV,Jazz,1,Belle Livingstone's 58th Street Country Club,London,51.47289512,-0.06736413,2026-08-06T17:36:43
KovZ9177-x7,Rock,1,"Palace Theatre, Southend",Southend-On-Sea,51.543874,0.691363,2026-08-06T17:36:43
KovZ9177047,Rock,1,The Fire Station,Sunderland,54.90744,-1.38309,2026-08-06T17:36:43
KovZ91770Q7,Jazz,1,Scarborough Spa Theatre,Scarborough,54.275699,-0.397446,2026-08-06T17:36:43
KovZ91770Q7,Pop,1,Scarborough Spa Theatre,Scarborough,54.275699,-0.397446,2026-08-06T17:36:43
KovZ91770Q7,Reggae,1,Scarborough Spa Theatre,Scarborough,54.275699,-0.397446,2026-08-06T17:36:43
KovZ91770Q7,Rock,4,Scarborough Spa Theatre,Scarborough,54.275699,-0.397446,2026-08-06T17:36:43
KovZ91770Qf,Country,1,Whitby Pavilion Theatre,Whitby,54.490859,-0.620487,2026-08-06T17:36:43
KovZ91770Qf,Rock,5,Whitby Pavilion Theatre,Whitby,54.490859,-0.620487,2026-08-06T17:36:43
KovZ91770R7,Alternative,1,Wolverhampton Arts Centre,Wolverhampton,52.5916044,-2.1330758,2026-08-06T17:36:43
KovZ91770S0,Dance/Electronic,1,LiveHouse,Dundee,56.46056,-2.97,2026-08-06T17:36:43
KovZ91770S0,Folk,1,LiveHouse,Dundee,56.46056,-2.97,2026-08-06T17:36:43
KovZ91770S0,Metal,1,LiveHouse,Dundee,56.46056,-2.97,2026-08-06T17:36:43
KovZ91770S0,Rock,4,LiveHouse,Dundee,56.46056,-2.97,2026-08-06T17:36:43
KovZ91770_0,Rock,8,Utilita Arena Sheffield,Sheffield,53.399786,-1.418825,2026-08-06T17:36:43
KovZ91770_V,Classical,1,Sheffield City Hall Oval Hall,Sheffield,53.38118,-1.471079,2026-08-06T17:36:43
KovZ91770_V,Folk,1,Sheffield City Hall Oval Hall,Sheffield,53.38118,-1.471079,2026-08-06T17:36:43
KovZ91770_V,Holiday,1,Sheffield City Hall Oval Hall,Sheffield,53.38118,-1.471079,2026-08-06T17:36:43
KovZ91770_V,Pop,2,Sheffield City Hall Oval Hall,Sheffield,53.38118,-1.471079,2026-08-06T17:36:43
KovZ91770_V,R&B,2,Sheffield City Hall Oval Hall,Sheffield,53.38118,-1.471079,2026-08-06T17:36:43
KovZ91770_V,Rock,10,Sheffield City Hall Oval Hall,Sheffield,53.38118,-1.471079,2026-08-06T17:36:43
KovZ91770d7,Rock,1,Hackney Empire,London,51.546122,-0.05542,2026-08-06T17:36:43
KovZ91770uf,R&B,1,Blackpool Grand Theatre,Blackpool,53.817227,-3.053335,2026-08-06T17:36:43
KovZ917710V,Dance/Electronic,1,Peterborough Cathedral,Peterborough,52.5730895,-0.2416037,2026-08-06T17:36:43
KovZ917710V,Pop,1,Peterborough Cathedral,Peterborough,52.5730895,-0.2416037,2026-08-06T17:36:43
KovZ917710V,Rock,1,Peterborough Cathedral,Peterborough,52.5730895,-0.2416037,2026-08-06T17:36:43
KovZ917710f,Alternative,2,The Louisiana,Bristol,51.4467999,-2.59643092,2026-08-06T17:36:43
KovZ917710f,Folk,1,The Louisiana,Bristol,51.4467999,-2.59643092,2026-08-06T17:36:43
KovZ917710f,Pop,1,The Louisiana,Bristol,51.4467999,-2.59643092,2026-08-06T17:36:43
KovZ917710f,Rock,5,The Louisiana,Bristol,51.4467999,-2.59643092,2026-08-06T17:36:43
KovZ917710f,World,1,The Louisiana,Bristol,51.4467999,-2.59643092,2026-08-06T17:36:43
KovZ9177150,Jazz,28,Vortex Jazz Club,London,51.54879,-0.07665,2026-08-06T17:36:43
