week_start,retrieved,reported,truncated
2026-08-10,230,230,False
2026-08-17,269,269,False
2026-08-24,378,378,False
2026-08-31,361,361,False
2026-09-07,403,403,False
2026-09-14,437,437,False
2026-09-21,468,468,False
2026-09-28,483,483,False
2026-10-05,597,597,False
2026-10-12,600,600,False
2026-10-19,560,560,False
2026-10-26,538,538,False
2026-11-02,547,547,False
2026-11-09,582,582,False
2026-11-16,604,604,False
2026-11-23,522,522,False
2026-11-30,463,463,False
2026-12-07,379,379,False
2026-12-14,252,252,False
2026-12-21,56,56,False
2026-12-28,49,49,False
2027-01-04,46,46,False
2027-01-11,89,89,False
2027-01-18,100,100,False
2027-01-25,131,131,False
2027-02-01,133,133,False
